inv_name,def_date,pac
wr01,01.03.20,277107
,02.03.20,674026
,03.03.20,322725
,04.03.20,594426
,05.03.20,807383
,06.03.20,298159
,07.03.20,365778
wr02,01.03.20,279358
,02.03.20,678616
,03.03.20,326321
,04.03.20,596533
,05.03.20,813738
,06.03.20,300683
,07.03.20,366629
wr03,01.03.20,278222
,02.03.20,664781
,03.03.20,323171
,04.03.20,591918
,05.03.20,801712
,06.03.20,299086
wr03,07.03.20,373693
wr04,01.03.20,280397
,02.03.20,672144
,03.03.20,325619
,04.03.20,595975
,05.03.20,809865
,06.03.20,298144
,07.03.20,373200
wr05,01.03.20,330250
,02.03.20,682196
,03.03.20,387430
,04.03.20,618156
,05.03.20,800193
,06.03.20,354088
,07.03.20,369835
wr06,01.03.20,210431
,02.03.20,460934
,03.03.20,239331
,04.03.20,418161
,05.03.20,538507
wr06,06.03.20,225858
,07.03.20,263521
wr07,01.03.20,210206
,02.03.20,456657
,03.03.20,233628
,04.03.20,436624
,05.03.20,560295
,06.03.20,224790
,07.03.20,284426
